Student ID,Quarter,Period,Incident Type,Action Taken,Incident Count
STU0020,Q2,Q2 2023,Disrespect,Lunch Detention,1
STU0020,Q2,Q2 2023,Disruption,Warning,1
STU0020,Q3,Q3 2023,Horseplay,Conference,1
STU0020,Q4,Q4 2023,Phone Violation,Warning,1
STU0020,Q4,Q4 2023,Horseplay,Lunch Detention,1
STU0020,Q4,Q4 2023,Refusal to Work,Conference,1
STU0020,Q4,Q4 2023,Phone Violation,Office Referral,1
STU0022,Q1,Q1 2023,Disrespect,Conference,1
STU0022,Q1,Q1 2023,Refusal to Work,Lunch Detention,1
STU0022,Q2,Q2 2023,Disrespect,Warning,1
STU0022,Q2,Q2 2023,Horseplay,Parent Contact,1
STU0022,Q2,Q2 2023,Conflict,Office Referral,1
STU0022,Q2,Q2 2023,Conflict,Lunch Detention,1
STU0022,Q3,Q3 2023,Conflict,Parent Contact,1
STU0022,Q3,Q3 2023,Disruption,Lunch Detention,1
STU0022,Q3,Q3 2023,Horseplay,Conference,1
STU0022,Q3,Q3 2023,Conflict,Parent Contact,1
STU0022,Q3,Q3 2023,Disrespect,Conference,1
STU0022,Q3,Q3 2023,Conflict,Office Referral,1
STU0022,Q4,Q4 2023,Refusal to Work,Conference,1
STU0022,Q4,Q4 2023,Horseplay,Warning,1
STU0022,Q4,Q4 2023,Refusal to Work,Warning,1
STU0022,Q4,Q4 2023,Disrespect,Parent Contact,1
STU0022,Q4,Q4 2023,Refusal to Work,Lunch Detention,1
STU0023,Q1,Q1 2023,Disrespect,Warning,1
STU0023,Q2,Q2 2023,Horseplay,Office Referral,1
STU0024,Q1,Q1 2023,Disrespect,Office Referral,1
STU0024,Q1,Q1 2023,Horseplay,Lunch Detention,1
STU0024,Q1,Q1 2023,Horseplay,Conference,1
STU0024,Q1,Q1 2023,Conflict,Conference,1
STU0024,Q1,Q1 2023,Disruption,Lunch Detention,1
STU0024,Q1,Q1 2023,Conflict,Lunch Detention,1
STU0024,Q2,Q2 2023,Conflict,Parent Contact,1
STU0024,Q2,Q2 2023,Disruption,Warning,1
STU0024,Q2,Q2 2023,Refusal to Work,Lunch Detention,1
STU0024,Q2,Q2 2023,Disrespect,Office Referral,1
STU0024,Q2,Q2 2023,Conflict,Conference,1
STU0024,Q3,Q3 2023,Conflict,Lunch Detention,1
STU0024,Q4,Q4 2023,Conflict,Warning,1
STU0024,Q4,Q4 2023,Conflict,Lunch Detention,1
STU0024,Q4,Q4 2023,Horseplay,Conference,1
STU0024,Q4,Q4 2023,Disrespect,Parent Contact,1
STU0024,Q4,Q4 2023,Disrespect,Office Referral,1
STU0027,Q1,Q1 2023,Disrespect,Office Referral,1
STU0027,Q1,Q1 2023,Conflict,Conference,1
STU0027,Q2,Q2 2023,Horseplay,Office Referral,1
STU0027,Q2,Q2 2023,Conflict,Conference,1
STU0028,Q1,Q1 2023,Refusal to Work,Conference,1
STU0028,Q1,Q1 2023,Conflict,Parent Contact,1
STU0028,Q1,Q1 2023,Disrespect,Conference,1
STU0028,Q2,Q2 2023,Disruption,Conference,1
STU0028,Q2,Q2 2023,Refusal to Work,Conference,1
STU0028,Q2,Q2 2023,Conflict,Lunch Detention,1
STU0028,Q3,Q3 2023,Disruption,Conference,1
STU0028,Q3,Q3 2023,Disruption,Warning,1
STU0028,Q3,Q3 2023,Phone Violation,Conference,1
STU0028,Q3,Q3 2023,Disrespect,Conference,1
STU0028,Q3,Q3 2023,Phone Violation,Parent Contact,1
STU0028,Q3,Q3 2023,Disrespect,Lunch Detention,1
STU0029,Q1,Q1 2023,Phone Violation,Office Referral,1
STU0029,Q1,Q1 2023,Disruption,Parent Contact,1
STU0029,Q1,Q1 2023,Conflict,Conference,1
STU0029,Q1,Q1 2023,Refusal to Work,Warning,1
STU0029,Q1,Q1 2023,Phone Violation,Office Referral,1
STU0029,Q1,Q1 2023,Disruption,Office Referral,1
STU0029,Q1,Q1 2023,Disrespect,Conference,1
STU0029,Q2,Q2 2023,Refusal to Work,Office Referral,1
STU0029,Q2,Q2 2023,Phone Violation,Warning,1
STU0029,Q2,Q2 2023,Phone Violation,Office Referral,1
STU0029,Q3,Q3 2023,Conflict,Lunch Detention,1
STU0029,Q3,Q3 2023,Conflict,Warning,1
STU0029,Q3,Q3 2023,Refusal to Work,Lunch Detention,1
STU0029,Q3,Q3 2023,Disruption,Parent Contact,1
STU0029,Q3,Q3 2023,Phone Violation,Warning,1
STU0029,Q4,Q4 2023,Disruption,Office Referral,1
STU0029,Q4,Q4 2023,Horseplay,Warning,1
STU0029,Q4,Q4 2023,Phone Violation,Warning,1
STU0029,Q4,Q4 2023,Disruption,Office Referral,1
STU0029,Q4,Q4 2023,Disruption,Lunch Detention,1
STU0030,Q2,Q2 2023,Refusal to Work,Parent Contact,1
STU0030,Q2,Q2 2023,Disrespect,Office Referral,1
STU0030,Q2,Q2 2023,Horseplay,Office Referral,1
STU0030,Q3,Q3 2023,Refusal to Work,Office Referral,1
STU0030,Q3,Q3 2023,Refusal to Work,Warning,1
STU0030,Q3,Q3 2023,Conflict,Conference,1
STU0030,Q3,Q3 2023,Disrespect,Lunch Detention,1
STU0030,Q3,Q3 2023,Disruption,Parent Contact,1
STU0030,Q3,Q3 2023,Phone Violation,Office Referral,1
STU0030,Q4,Q4 2023,Phone Violation,Parent Contact,1
STU0031,Q1,Q1 2023,Conflict,Parent Contact,1
STU0031,Q1,Q1 2023,Disruption,Warning,1
STU0031,Q2,Q2 2023,Horseplay,Office Referral,1
STU0031,Q4,Q4 2023,Conflict,Conference,1
STU0033,Q1,Q1 2023,Refusal to Work,Conference,1
STU0033,Q1,Q1 2023,Refusal to Work,Parent Contact,1
STU0033,Q1,Q1 2023,Disrespect,Office Referral,1
STU0033,Q2,Q2 2023,Horseplay,Parent Contact,1
STU0033,Q2,Q2 2023,Horseplay,Parent Contact,1
STU0033,Q2,Q2 2023,Conflict,Warning,1
STU0033,Q2,Q2 2023,Disruption,Office Referral,1
STU0033,Q2,Q2 2023,Phone Violation,Warning,1
STU0033,Q2,Q2 2023,Disrespect,Parent Contact,1
STU0033,Q2,Q2 2023,Disruption,Warning,1
STU0033,Q3,Q3 2023,Phone Violation,Warning,1
STU0033,Q4,Q4 2023,Refusal to Work,Conference,1
STU0033,Q4,Q4 2023,Conflict,Warning,1
STU0035,Q1,Q1 2023,Disrespect,Warning,1
STU0035,Q1,Q1 2023,Refusal to Work,Office Referral,1
STU0035,Q2,Q2 2023,Disrespect,Conference,1
STU0035,Q3,Q3 2023,Disrespect,Warning,1
STU0035,Q3,Q3 2023,Disrespect,Conference,1
STU0036,Q2,Q2 2023,Horseplay,Parent Contact,1
STU0036,Q2,Q2 2023,Conflict,Conference,1
STU0036,Q2,Q2 2023,Horseplay,Conference,1
STU0036,Q3,Q3 2023,Phone Violation,Lunch Detention,1
STU0036,Q3,Q3 2023,Disrespect,Lunch Detention,1
STU0036,Q3,Q3 2023,Disrespect,Conference,1
STU0036,Q4,Q4 2023,Disrespect,Office Referral,1
STU0037,Q1,Q1 2023,Horseplay,Lunch Detention,1
STU0037,Q2,Q2 2023,Disruption,Conference,1
STU0037,Q2,Q2 2023,Phone Violation,Parent Contact,1
STU0037,Q2,Q2 2023,Conflict,Office Referral,1
STU0037,Q3,Q3 2023,Phone Violation,Office Referral,1
STU0038,Q1,Q1 2023,Disruption,Lunch Detention,1
STU0038,Q1,Q1 2023,Conflict,Office Referral,1
STU0038,Q1,Q1 2023,Phone Violation,Lunch Detention,1
STU0038,Q1,Q1 2023,Conflict,Office Referral,1
STU0038,Q1,Q1 2023,Refusal to Work,Parent Contact,1
STU0038,Q1,Q1 2023,Horseplay,Office Referral,1
STU0038,Q2,Q2 2023,Disrespect,Conference,1
STU0038,Q2,Q2 2023,Refusal to Work,Parent Contact,1
STU0038,Q2,Q2 2023,Disrespect,Lunch Detention,1
STU0038,Q2,Q2 2023,Conflict,Parent Contact,1
STU0038,Q2,Q2 2023,Refusal to Work,Warning,1
STU0038,Q2,Q2 2023,Phone Violation,Office Referral,1
STU0038,Q2,Q2 2023,Refusal to Work,Conference,1
STU0038,Q2,Q2 2023,Phone Violation,Parent Contact,1
STU0038,Q3,Q3 2023,Refusal to Work,Parent Contact,1
STU0038,Q3,Q3 2023,Horseplay,Parent Contact,1
STU0038,Q3,Q3 2023,Horseplay,Warning,1
STU0038,Q3,Q3 2023,Refusal to Work,Lunch Detention,1
STU0038,Q3,Q3 2023,Disruption,Conference,1
STU0038,Q4,Q4 2023,Conflict,Parent Contact,1
STU0038,Q4,Q4 2023,Disruption,Lunch Detention,1
STU0038,Q4,Q4 2023,Refusal to Work,Conference,1
STU0038,Q4,Q4 2023,Phone Violation,Warning,1
STU0038,Q4,Q4 2023,Disruption,Parent Contact,1
STU0039,Q1,Q1 2023,Phone Violation,Conference,1
STU0039,Q4,Q4 2023,Disrespect,Office Referral,1
STU0040,Q1,Q1 2023,Disrespect,Lunch Detention,1
STU0040,Q1,Q1 2023,Horseplay,Warning,1
STU0040,Q2,Q2 2023,Disrespect,Parent Contact,1
STU0040,Q2,Q2 2023,Conflict,Warning,1
STU0040,Q2,Q2 2023,Conflict,Office Referral,1
STU0040,Q2,Q2 2023,Disrespect,Conference,1
STU0040,Q2,Q2 2023,Conflict,Parent Contact,1
STU0040,Q3,Q3 2023,Refusal to Work,Parent Contact,1
STU0040,Q3,Q3 2023,Phone Violation,Lunch Detention,1
STU0040,Q3,Q3 2023,Horseplay,Office Referral,1
STU0040,Q4,Q4 2023,Refusal to Work,Conference,1
STU0040,Q4,Q4 2023,Conflict,Lunch Detention,1
STU0040,Q4,Q4 2023,Horseplay,Lunch Detention,1
STU0040,Q4,Q4 2023,Horseplay,Conference,1
STU0041,Q1,Q1 2023,Refusal to Work,Office Referral,1
STU0041,Q1,Q1 2023,Disruption,Office Referral,1
STU0041,Q1,Q1 2023,Horseplay,Parent Contact,1
STU0041,Q2,Q2 2023,Horseplay,Lunch Detention,1
STU0041,Q2,Q2 2023,Refusal to Work,Warning,1
STU0041,Q3,Q3 2023,Phone Violation,Parent Contact,1
STU0041,Q3,Q3 2023,Conflict,Parent Contact,1
STU0041,Q4,Q4 2023,Disruption,Lunch Detention,1
STU0042,Q1,Q1 2023,Phone Violation,Conference,1
STU0042,Q1,Q1 2023,Phone Violation,Office Referral,1
STU0042,Q1,Q1 2023,Horseplay,Parent Contact,1
STU0042,Q2,Q2 2023,Disrespect,Lunch Detention,1
STU0042,Q2,Q2 2023,Disrespect,Office Referral,1
STU0042,Q2,Q2 2023,Phone Violation,Parent Contact,1
STU0042,Q2,Q2 2023,Refusal to Work,Conference,1
STU0042,Q2,Q2 2023,Conflict,Lunch Detention,1
STU0042,Q2,Q2 2023,Horseplay,Office Referral,1
STU0042,Q2,Q2 2023,Conflict,Office Referral,1
STU0042,Q2,Q2 2023,Refusal to Work,Parent Contact,1
STU0042,Q2,Q2 2023,Conflict,Lunch Detention,1
STU0042,Q2,Q2 2023,Disrespect,Parent Contact,1
STU0042,Q2,Q2 2023,Conflict,Conference,1
STU0042,Q2,Q2 2023,Refusal to Work,Parent Contact,1
STU0042,Q3,Q3 2023,Phone Violation,Warning,1
STU0042,Q3,Q3 2023,Phone Violation,Warning,1
STU0042,Q3,Q3 2023,Disruption,Warning,1
STU0042,Q3,Q3 2023,Disruption,Office Referral,1
STU0042,Q3,Q3 2023,Disrespect,Parent Contact,1
STU0042,Q3,Q3 2023,Disruption,Parent Contact,1
STU0042,Q3,Q3 2023,Disruption,Parent Contact,1
STU0042,Q4,Q4 2023,Phone Violation,Office Referral,1
STU0042,Q4,Q4 2023,Horseplay,Warning,1
STU0042,Q4,Q4 2023,Phone Violation,Conference,1
STU0042,Q4,Q4 2023,Refusal to Work,Office Referral,1
STU0043,Q2,Q2 2023,Disruption,Warning,1
STU0043,Q2,Q2 2023,Phone Violation,Conference,1
STU0044,Q2,Q2 2023,Refusal to Work,Warning,1
STU0044,Q2,Q2 2023,Disruption,Conference,1
STU0044,Q2,Q2 2023,Conflict,Lunch Detention,1
STU0044,Q4,Q4 2023,Phone Violation,Lunch Detention,1
STU0044,Q4,Q4 2023,Disruption,Conference,1
STU0044,Q4,Q4 2023,Conflict,Office Referral,1
STU0045,Q1,Q1 2023,Disrespect,Warning,1
STU0045,Q1,Q1 2023,Disruption,Conference,1
STU0045,Q1,Q1 2023,Disrespect,Parent Contact,1
STU0045,Q3,Q3 2023,Disrespect,Conference,1
STU0045,Q3,Q3 2023,Phone Violation,Lunch Detention,1
STU0045,Q4,Q4 2023,Horseplay,Lunch Detention,1
STU0046,Q1,Q1 2023,Refusal to Work,Warning,1
STU0046,Q1,Q1 2023,Horseplay,Office Referral,1
STU0046,Q2,Q2 2023,Refusal to Work,Conference,1
STU0046,Q2,Q2 2023,Disrespect,Parent Contact,1
STU0046,Q2,Q2 2023,Horseplay,Warning,1
STU0046,Q2,Q2 2023,Conflict,Warning,1
STU0046,Q3,Q3 2023,Disruption,Office Referral,1
STU0046,Q3,Q3 2023,Refusal to Work,Office Referral,1
STU0046,Q3,Q3 2023,Phone Violation,Office Referral,1
STU0046,Q3,Q3 2023,Disruption,Warning,1
STU0046,Q4,Q4 2023,Conflict,Parent Contact,1
STU0047,Q1,Q1 2023,Disruption,Office Referral,1
STU0047,Q1,Q1 2023,Refusal to Work,Lunch Detention,1
STU0047,Q3,Q3 2023,Phone Violation,Warning,1
STU0047,Q3,Q3 2023,Phone Violation,Warning,1
STU0048,Q2,Q2 2023,Disrespect,Parent Contact,1
STU0048,Q4,Q4 2023,Conflict,Conference,1
STU0050,Q1,Q1 2023,Refusal to Work,Lunch Detention,1
STU0050,Q2,Q2 2023,Disruption,Warning,1
STU0050,Q3,Q3 2023,Conflict,Lunch Detention,1
STU0051,Q1,Q1 2023,Phone Violation,Conference,1
STU0051,Q1,Q1 2023,Conflict,Warning,1
STU0051,Q2,Q2 2023,Disrespect,Lunch Detention,1
STU0051,Q4,Q4 2023,Disruption,Parent Contact,1
STU0051,Q4,Q4 2023,Phone Violation,Parent Contact,1
STU0052,Q1,Q1 2023,Conflict,Office Referral,1
STU0052,Q2,Q2 2023,Disruption,Lunch Detention,1
STU0052,Q2,Q2 2023,Disrespect,Conference,1
STU0054,Q1,Q1 2023,Disrespect,Conference,1
STU0054,Q1,Q1 2023,Refusal to Work,Conference,1
STU0054,Q1,Q1 2023,Horseplay,Office Referral,1
STU0054,Q2,Q2 2023,Conflict,Parent Contact,1
STU0054,Q2,Q2 2023,Conflict,Warning,1
STU0054,Q3,Q3 2023,Phone Violation,Lunch Detention,1
STU0054,Q3,Q3 2023,Disruption,Warning,1
STU0054,Q3,Q3 2023,Refusal to Work,Parent Contact,1
STU0055,Q1,Q1 2023,Disruption,Lunch Detention,1
STU0055,Q1,Q1 2023,Phone Violation,Conference,1
STU0055,Q1,Q1 2023,Phone Violation,Office Referral,1
STU0055,Q1,Q1 2023,Horseplay,Warning,1
STU0055,Q1,Q1 2023,Conflict,Lunch Detention,1
STU0055,Q2,Q2 2023,Refusal to Work,Office Referral,1
STU0055,Q2,Q2 2023,Disrespect,Lunch Detention,1
STU0055,Q2,Q2 2023,Phone Violation,Office Referral,1
STU0055,Q3,Q3 2023,Refusal to Work,Parent Contact,1
STU0055,Q3,Q3 2023,Conflict,Conference,1
STU0055,Q3,Q3 2023,Conflict,Office Referral,1
STU0055,Q4,Q4 2023,Disruption,Conference,1
STU0055,Q4,Q4 2023,Horseplay,Parent Contact,1
STU0055,Q4,Q4 2023,Conflict,Warning,1
STU0055,Q4,Q4 2023,Disruption,Lunch Detention,1
STU0056,Q1,Q1 2023,Disrespect,Office Referral,1
STU0056,Q1,Q1 2023,Conflict,Parent Contact,1
STU0056,Q1,Q1 2023,Conflict,Office Referral,1
STU0056,Q2,Q2 2023,Horseplay,Lunch Detention,1
STU0056,Q3,Q3 2023,Disruption,Warning,1
STU0056,Q3,Q3 2023,Disruption,Lunch Detention,1
STU0056,Q3,Q3 2023,Refusal to Work,Lunch Detention,1
STU0056,Q3,Q3 2023,Horseplay,Warning,1
STU0056,Q3,Q3 2023,Disrespect,Warning,1
STU0056,Q4,Q4 2023,Disrespect,Office Referral,1
STU0056,Q4,Q4 2023,Refusal to Work,Conference,1
STU0057,Q1,Q1 2023,Phone Violation,Conference,1
STU0057,Q1,Q1 2023,Refusal to Work,Warning,1
STU0057,Q1,Q1 2023,Disruption,Warning,1
STU0057,Q2,Q2 2023,Horseplay,Conference,1
STU0057,Q3,Q3 2023,Disruption,Conference,1
STU0057,Q4,Q4 2023,Phone Violation,Lunch Detention,1
STU0058,Q1,Q1 2023,Refusal to Work,Warning,1
STU0058,Q1,Q1 2023,Horseplay,Office Referral,1
STU0058,Q2,Q2 2023,Refusal to Work,Warning,1
STU0058,Q2,Q2 2023,Conflict,Conference,1
STU0058,Q3,Q3 2023,Disrespect,Conference,1
STU0058,Q3,Q3 2023,Phone Violation,Parent Contact,1
STU0059,Q1,Q1 2023,Conflict,Office Referral,1
STU0059,Q1,Q1 2023,Disrespect,Parent Contact,1
STU0059,Q2,Q2 2023,Horseplay,Lunch Detention,1
STU0059,Q2,Q2 2023,Horseplay,Office Referral,1
STU0059,Q3,Q3 2023,Disrespect,Warning,1
STU0059,Q3,Q3 2023,Disrespect,Office Referral,1
STU0060,Q1,Q1 2023,Horseplay,Office Referral,1
STU0060,Q1,Q1 2023,Horseplay,Office Referral,1
STU0060,Q2,Q2 2023,Disruption,Lunch Detention,1
STU0060,Q2,Q2 2023,Horseplay,Parent Contact,1
STU0060,Q2,Q2 2023,Conflict,Office Referral,1
STU0060,Q2,Q2 2023,Phone Violation,Conference,1
STU0060,Q3,Q3 2023,Disrespect,Office Referral,1
STU0060,Q3,Q3 2023,Disruption,Parent Contact,1
STU0060,Q3,Q3 2023,Horseplay,Warning,1
STU0060,Q3,Q3 2023,Refusal to Work,Lunch Detention,1
STU0060,Q3,Q3 2023,Phone Violation,Office Referral,1
STU0060,Q4,Q4 2023,Horseplay,Office Referral,1
STU0060,Q4,Q4 2023,Horseplay,Office Referral,1
STU0061,Q1,Q1 2023,Conflict,Conference,1
STU0061,Q1,Q1 2023,Disrespect,Lunch Detention,1
STU0061,Q1,Q1 2023,Horseplay,Conference,1
STU0061,Q2,Q2 2023,Conflict,Parent Contact,1
STU0061,Q3,Q3 2023,Refusal to Work,Lunch Detention,1
STU0061,Q3,Q3 2023,Disrespect,Office Referral,1
STU0061,Q4,Q4 2023,Horseplay,Lunch Detention,1
STU0061,Q4,Q4 2023,Conflict,Office Referral,1
STU0061,Q4,Q4 2023,Phone Violation,Parent Contact,1
STU0061,Q4,Q4 2023,Horseplay,Office Referral,1
STU0061,Q4,Q4 2023,Horseplay,Office Referral,1
STU0062,Q2,Q2 2023,Horseplay,Warning,1
STU0062,Q2,Q2 2023,Phone Violation,Parent Contact,1
STU0062,Q2,Q2 2023,Phone Violation,Conference,1
STU0062,Q2,Q2 2023,Disrespect,Conference,1
STU0062,Q2,Q2 2023,Disruption,Office Referral,1
STU0062,Q3,Q3 2023,Conflict,Parent Contact,1
STU0062,Q3,Q3 2023,Refusal to Work,Lunch Detention,1
STU0062,Q3,Q3 2023,Conflict,Warning,1
STU0062,Q3,Q3 2023,Refusal to Work,Office Referral,1
STU0062,Q3,Q3 2023,Disrespect,Lunch Detention,1
STU0062,Q4,Q4 2023,Disrespect,Lunch Detention,1
STU0062,Q4,Q4 2023,Conflict,Parent Contact,1
STU0062,Q4,Q4 2023,Conflict,Office Referral,1
STU0062,Q4,Q4 2023,Refusal to Work,Warning,1
STU0063,Q2,Q2 2023,Refusal to Work,Conference,1
STU0063,Q2,Q2 2023,Refusal to Work,Conference,1
STU0063,Q4,Q4 2023,Refusal to Work,Conference,1
STU0064,Q3,Q3 2023,Phone Violation,Office Referral,1
STU0064,Q3,Q3 2023,Phone Violation,Warning,1
STU0064,Q3,Q3 2023,Horseplay,Conference,1
STU0064,Q4,Q4 2023,Phone Violation,Warning,1
STU0065,Q1,Q1 2023,Disruption,Parent Contact,1
STU0065,Q1,Q1 2023,Conflict,Lunch Detention,1
STU0065,Q2,Q2 2023,Disrespect,Conference,1
STU0065,Q4,Q4 2023,Disruption,Conference,1
STU0066,Q2,Q2 2023,Conflict,Office Referral,1
STU0066,Q2,Q2 2023,Horseplay,Office Referral,1
STU0066,Q2,Q2 2023,Disruption,Warning,1
STU0066,Q2,Q2 2023,Disruption,Lunch Detention,1
STU0066,Q2,Q2 2023,Disrespect,Conference,1
STU0066,Q3,Q3 2023,Conflict,Conference,1
STU0066,Q3,Q3 2023,Phone Violation,Conference,1
STU0066,Q4,Q4 2023,Conflict,Conference,1
STU0066,Q4,Q4 2023,Disrespect,Office Referral,1
STU0067,Q1,Q1 2023,Horseplay,Office Referral,1
STU0067,Q2,Q2 2023,Refusal to Work,Conference,1
STU0067,Q3,Q3 2023,Conflict,Conference,1
STU0067,Q3,Q3 2023,Disrespect,Lunch Detention,1
STU0067,Q3,Q3 2023,Disruption,Office Referral,1
STU0067,Q3,Q3 2023,Disruption,Lunch Detention,1
STU0067,Q3,Q3 2023,Refusal to Work,Warning,1
STU0067,Q4,Q4 2023,Disruption,Parent Contact,1
STU0067,Q4,Q4 2023,Horseplay,Lunch Detention,1
STU0068,Q3,Q3 2023,Horseplay,Office Referral,1
STU0068,Q4,Q4 2023,Disrespect,Conference,1
STU0069,Q2,Q2 2023,Refusal to Work,Lunch Detention,1
STU0069,Q3,Q3 2023,Refusal to Work,Warning,1
STU0069,Q3,Q3 2023,Refusal to Work,Office Referral,1
STU0069,Q3,Q3 2023,Horseplay,Warning,1
STU0070,Q1,Q1 2023,Horseplay,Warning,1
STU0070,Q1,Q1 2023,Conflict,Warning,1
STU0070,Q1,Q1 2023,Disruption,Lunch Detention,1
STU0070,Q1,Q1 2023,Conflict,Warning,1
STU0070,Q1,Q1 2023,Conflict,Parent Contact,1
STU0070,Q1,Q1 2023,Conflict,Parent Contact,1
STU0070,Q2,Q2 2023,Phone Violation,Parent Contact,1
STU0070,Q2,Q2 2023,Phone Violation,Parent Contact,1
STU0070,Q2,Q2 2023,Horseplay,Conference,1
STU0070,Q2,Q2 2023,Refusal to Work,Office Referral,1
STU0070,Q2,Q2 2023,Disrespect,Office Referral,1
STU0070,Q2,Q2 2023,Conflict,Parent Contact,1
STU0070,Q2,Q2 2023,Disrespect,Office Referral,1
STU0070,Q2,Q2 2023,Refusal to Work,Warning,1
STU0070,Q2,Q2 2023,Conflict,Conference,1
STU0070,Q2,Q2 2023,Disrespect,Office Referral,1
