Student ID,Quarter Started,Period,Intervention Type,Focus Area,Status,Outcome
STU0070,Q1,Q1 2023,Reading Support,Academic,Completed,Stable
STU0070,Q4,Q4 2023,Reading Support,Social-Emotional,Completed,Stable
STU0085,Q1,Q1 2023,Math Support,Attendance,Completed,No Change
STU0085,Q1,Q1 2023,Parent Conference,Behavioral,Completed,No Change
STU0085,Q4,Q4 2023,Reading Support,Academic,Active,Exited - Met Goal
STU0090,Q1,Q1 2023,Behavior Plan,Attendance,Active,Exited - Met Goal
STU0090,Q1,Q1 2023,Math Support,Social-Emotional,Completed,Improving
STU0092,Q1,Q1 2023,Behavior Plan,Social-Emotional,Active,Exited - Met Goal
STU0092,Q1,Q1 2023,Lunch Check-in,Social-Emotional,Completed,Stable
STU0092,Q1,Q1 2023,Lunch Check-in,Attendance,Discontinued,Stable
STU0092,Q4,Q4 2023,Mentor Match,Attendance,Completed,No Change
STU0093,Q3,Q3 2023,Behavior Plan,Attendance,Completed,Improving
STU0093,Q2,Q2 2023,Small Group Tutoring,Attendance,Active,Stable
STU0093,Q3,Q3 2023,Mentor Match,Academic,Active,Improving
STU0093,Q2,Q2 2023,Parent Conference,Academic,Active,Improving
STU0094,Q4,Q4 2023,Math Support,Social-Emotional,Completed,Improving
STU0096,Q1,Q1 2023,Lunch Check-in,Social-Emotional,Completed,Stable
STU0096,Q2,Q2 2023,Behavior Plan,Academic,Completed,Improving
STU0096,Q4,Q4 2023,Behavior Plan,Behavioral,Completed,Improving
STU0096,Q2,Q2 2023,Lunch Check-in,Social-Emotional,Completed,Stable
STU0098,Q4,Q4 2023,Math Support,Attendance,Active,Improving
STU0098,Q3,Q3 2023,Behavior Plan,Behavioral,Active,Stable
STU0098,Q3,Q3 2023,Mentor Match,Behavioral,Active,Stable
STU0098,Q3,Q3 2023,Mentor Match,Behavioral,Discontinued,No Change
STU0102,Q1,Q1 2023,Mentor Match,Social-Emotional,Completed,Exited - Met Goal
STU0102,Q4,Q4 2023,Counselor Referral,Social-Emotional,Completed,Stable
STU0102,Q1,Q1 2023,Parent Conference,Behavioral,Active,Improving
STU0103,Q3,Q3 2023,Counselor Referral,Behavioral,Completed,No Change
STU0103,Q3,Q3 2023,Math Support,Academic,Active,Stable
STU0107,Q4,Q4 2023,Math Support,Attendance,Completed,Improving
STU0107,Q4,Q4 2023,Parent Conference,Social-Emotional,Discontinued,Exited - Met Goal
STU0109,Q1,Q1 2023,Counselor Referral,Behavioral,Completed,No Change
STU0116,Q2,Q2 2023,Counselor Referral,Social-Emotional,Active,No Change
STU0116,Q2,Q2 2023,Reading Support,Academic,Active,Stable
STU0118,Q2,Q2 2023,Counselor Referral,Academic,Active,No Change
STU0118,Q2,Q2 2023,Small Group Tutoring,Behavioral,Discontinued,Stable
